epoch,loss,split,n_seeds,mean_mae,min_mae,max_mae,note
54,ce,val,2,4.949825499999999,4.7478,5.151851,
55,ce,val,2,4.9375585,4.859503,5.015614,
56,ce,val,2,4.8238135,4.70771,4.939917,
57,ce,val,2,5.044059,4.741211,5.346907,
58,ce,val,2,4.9823695,4.733331,5.231408,
59,ce,val,2,5.1908065,4.905893,5.47572,
60,ce,val,2,4.9443285,4.717783,5.170874,
61,ce,val,2,5.0759375,4.723142,5.428733,
62,ce,val,2,4.876787,4.72117,5.032404,
63,ce,val,2,4.886804,4.718525,5.055083,
64,ce,val,2,4.7879635,4.743259,4.832668,
65,ce,val,1,4.913584,4.913584,4.913584,
66,ce,val,1,4.839935,4.839935,4.839935,
67,ce,val,1,4.864734,4.864734,4.864734,
68,ce,val,1,4.981158,4.981158,4.981158,
69,ce,val,1,4.914821,4.914821,4.914821,
70,ce,val,1,4.949562,4.949562,4.949562,
71,ce,val,1,4.901119,4.901119,4.901119,
72,ce,val,1,4.879704,4.879704,4.879704,
73,ce,val,1,4.896039,4.896039,4.896039,
74,ce,val,1,4.884064,4.884064,4.884064,
75,ce,val,1,4.934395,4.934395,4.934395,
76,ce,val,1,4.935215,4.935215,4.935215,
77,ce,val,1,5.060426,5.060426,5.060426,
1,mae,train,3,11.967287,11.915268,11.999306,
2,mae,train,3,10.966129333333333,10.551744,11.199353,
3,mae,train,3,10.126178666666668,9.160265,11.126631,
4,mae,train,3,9.582525666666667,8.629335,11.033772,
5,mae,train,3,9.276806333333333,8.195547,10.905755,
6,mae,train,3,8.781750333333333,7.812067,10.07927,
7,mae,train,3,8.291676666666667,7.732731,8.896953,
8,mae,train,3,7.859641,7.64824,8.118894,
9,mae,train,3,7.410839333333333,7.11001,7.598714,
10,mae,train,3,6.687935,6.155804,7.248718,
11,mae,train,3,6.2346770000000005,5.985412,6.449915,
12,mae,train,3,6.003039333333334,5.820282,6.260664,
13,mae,train,3,5.860033333333334,5.690229,6.082457,
14,mae,train,3,5.761904333333334,5.637591,5.975762,
15,mae,train,3,5.7099296666666675,5.562705,5.946413,
16,mae,train,3,5.613665,5.50621,5.804039,
17,mae,train,3,5.567140333333334,5.456687,5.727941,
18,mae,train,3,5.510525333333334,5.431217,5.610352,
19,mae,train,3,5.415417333333334,5.325747,5.548635,
20,mae,train,3,5.364658666666666,5.232568,5.532901,
21,mae,train,3,5.292380666666667,5.20752,5.392856,
22,mae,train,3,5.283174666666667,5.202328,5.369807,
23,mae,train,3,5.236536,5.141514,5.320754,
24,mae,train,3,5.176396333333333,5.124674,5.273579,
25,mae,train,3,5.128318999999999,5.101855,5.174821,
26,mae,train,3,5.1057213333333324,5.045453,5.174668,
27,mae,train,3,5.039149666666666,4.978749,5.072946,
28,mae,train,3,5.003308333333333,4.950574,5.03843,
29,mae,train,3,4.8492906666666675,4.684603,4.962775,
30,mae,train,3,4.786931666666667,4.566129,4.93286,
31,mae,train,3,4.747912,4.469759,4.917518,
32,mae,train,3,4.7417283333333335,4.467944,4.901849,
33,mae,train,3,4.685595666666667,4.366758,4.855982,
34,mae,train,3,4.65137,4.37344,4.805594,
35,mae,train,3,4.609481,4.301752,4.820901,
36,mae,train,3,4.560893666666667,4.27022,4.718769,
37,mae,train,3,4.5571003333333335,4.228746,4.740968,
38,mae,train,3,4.507851666666666,4.206044,4.684862,
39,mae,train,3,4.485181,4.165366,4.680935,
40,mae,train,3,4.445256,4.121316,4.625154,
41,mae,train,3,4.404733333333334,4.060618,4.579517,
42,mae,train,3,4.380300666666667,4.051215,4.567127,
43,mae,train,3,4.357251333333333,4.032104,4.557754,
44,mae,train,3,4.318720666666667,3.958831,4.532064,
45,mae,train,3,4.271079666666666,3.889903,4.496878,
46,mae,train,3,4.136834666666666,3.88153,4.481185,
47,mae,train,3,4.043787,3.718469,4.418189,
48,mae,train,3,4.038058333333333,3.730583,4.391078,
49,mae,train,3,3.9997866666666666,3.716687,4.366364,
50,mae,train,3,3.978643333333333,3.708816,4.343233,
51,mae,train,3,3.974802333333333,3.697453,4.317725,
52,mae,train,3,3.9329316666666667,3.665918,4.269048,
53,mae,train,2,4.042517500000001,3.855538,4.229497,
54,mae,train,2,4.0509565,3.852579,4.249334,
55,mae,train,2,3.9791985,3.822857,4.13554,
56,mae,train,2,3.9674240000000003,3.799311,4.135537,
57,mae,train,2,3.9787265,3.795407,4.162046,
58,mae,train,2,3.9425165,3.763837,4.121196,
59,mae,train,2,3.7061435,3.680441,3.731846,
60,mae,train,2,3.6510875,3.593042,3.709133,
61,mae,train,2,3.6241535000000002,3.552828,3.695479,
62,mae,train,2,3.6119425,3.525718,3.698167,
63,mae,train,2,3.5476929999999998,3.481985,3.613401,
64,mae,train,2,3.5228770000000003,3.45368,3.592074,
65,mae,train,2,3.4991905,3.41077,3.587611,
66,mae,train,2,3.4808589999999997,3.383794,3.577924,
67,mae,train,2,3.4686814999999998,3.359302,3.578061,
68,mae,train,2,3.4775505,3.36054,3.594561,
69,mae,train,2,3.4418975,3.321088,3.562707,
70,mae,train,2,3.442263,3.305717,3.578809,
71,mae,train,2,3.386518,3.226062,3.546974,
72,mae,train,2,3.3694005,3.194218,3.544583,
73,mae,train,2,3.3697785,3.198598,3.540959,
74,mae,train,2,3.3716035,3.197596,3.545611,
75,mae,train,2,3.372105,3.183588,3.560622,
76,mae,train,2,3.3651365,3.169995,3.560278,
77,mae,train,1,3.537628,3.537628,3.537628,
1,mae,val,3,10.891611,10.802824,11.052902,
2,mae,val,3,17.557575,9.480116,32.588918,
3,mae,val,3,14.219321666666668,8.564277,24.702325,
4,mae,val,3,9.153763,8.014595,10.939565,
5,mae,val,3,8.972667666666666,7.860934,10.586268,
6,mae,val,3,8.226388,7.385044,9.557696,
7,mae,val,3,23.40887566666667,8.275199,53.187899,
8,mae,val,3,8.691232000000001,7.088462,11.424689,
9,mae,val,3,6.857631666666666,6.343753,7.453052,
10,mae,val,3,5.960539666666667,5.561965,6.346464,
11,mae,val,3,5.652310666666668,5.255043,6.415237,
12,mae,val,3,5.686089333333332,5.204634,6.539072,
13,mae,val,3,5.577029,5.289316,5.913688,
14,mae,val,3,6.147684333333333,5.045573,7.962446,
15,mae,val,3,5.222980333333333,5.03509,5.329733,
16,mae,val,3,5.462561000000001,4.883472,6.47242,
17,mae,val,3,5.646350333333333,5.266912,6.19067,
18,mae,val,3,5.3645439999999995,5.075501,5.550589,
19,mae,val,3,5.124107666666666,4.953149,5.28418,
20,mae,val,3,5.458834333333333,5.241408,5.789057,
21,mae,val,3,5.050801,4.739338,5.424374,
22,mae,val,3,4.893707,4.862266,4.952709,
23,mae,val,3,5.396468666666666,4.827076,5.727923,
24,mae,val,3,5.217275666666667,4.729198,6.16698,
25,mae,val,3,6.111810333333334,4.728872,7.427734,
26,mae,val,3,5.480338333333333,4.614777,7.068675,
27,mae,val,3,5.088098333333334,4.821312,5.321788,
28,mae,val,3,4.759167333333333,4.717756,4.798602,
29,mae,val,3,4.878432666666666,4.564667,5.113572,
30,mae,val,3,4.676207333333333,4.572207,4.787105,
31,mae,val,3,4.737119333333333,4.518149,5.055948,
32,mae,val,3,5.077603333333333,4.659927,5.350256,
33,mae,val,3,4.655508666666666,4.480795,4.870744,
34,mae,val,3,5.576492999999999,4.7083,6.398762,
35,mae,val,3,4.765742333333333,4.57449,4.996495,
36,mae,val,3,4.715353,4.529565,4.981562,
37,mae,val,3,4.555762666666666,4.419039,4.720932,
38,mae,val,3,4.560900333333334,4.394724,4.648122,
39,mae,val,3,4.641610666666668,4.552575,4.7422,
40,mae,val,3,4.838515,4.469966,5.297317,
41,mae,val,3,4.968083333333333,4.626876,5.278617,
42,mae,val,3,5.327983666666667,4.918895,6.134944,
43,mae,val,3,4.735924666666667,4.560919,4.827221,
44,mae,val,3,4.558086,4.458995,4.616978,
45,mae,val,3,4.737235666666666,4.635088,4.929343,
46,mae,val,3,4.5513319999999995,4.29744,4.740485,
47,mae,val,3,4.692532333333333,4.582118,4.906692,
48,mae,val,3,4.747724333333333,4.267506,5.094886,
49,mae,val,3,4.812326666666666,4.387757,5.176419,
50,mae,val,3,4.887838,4.757256,5.072408,
51,mae,val,3,4.588808666666666,4.332142,4.9389,
52,mae,val,3,4.596933,4.253326,5.17683,
53,mae,val,2,4.349819999999999,4.267217,4.432423,
54,mae,val,2,4.33223,4.195187,4.469273,
55,mae,val,2,4.4575005,4.171122,4.743879,
56,mae,val,2,4.3112224999999995,4.209452,4.412993,
57,mae,val,2,4.427288,4.366903,4.487673,
58,mae,val,2,4.3766645,4.328479,4.42485,
59,mae,val,2,4.561653,4.383481,4.739825,
60,mae,val,2,4.405238000000001,4.32856,4.481916,
61,mae,val,2,4.3790125,4.35476,4.403265,
62,mae,val,2,4.610092,4.254505,4.965679,
63,mae,val,2,4.299701000000001,4.291609,4.307793,
64,mae,val,2,4.2402945,4.162713,4.317876,
65,mae,val,2,4.256987,4.183863,4.330111,
66,mae,val,2,4.398676,4.352474,4.444878,
67,mae,val,2,4.483344,4.428413,4.538275,
68,mae,val,2,4.362306500000001,4.288223,4.43639,
69,mae,val,2,4.3107825,4.213471,4.408094,
70,mae,val,2,4.360555,4.270267,4.450843,
71,mae,val,2,5.470751,4.508016,6.433486,
72,mae,val,2,4.534553000000001,4.380639,4.688467,
73,mae,val,2,4.4559265,4.455674,4.456179,
74,mae,val,2,4.289194999999999,4.235206,4.343184,
75,mae,val,2,4.458869,4.445428,4.47231,
76,mae,val,2,4.319203,4.275853,4.362553,
77,mae,val,1,4.282465,4.282465,4.282465,
1,mse,train,3,11.806518666666667,11.558715,11.985329,
2,mse,train,3,11.283696666666666,11.174522,11.340745,
3,mse,train,3,10.864264666666665,10.018051,11.388893,
4,mse,train,3,10.370825666666667,8.70766,11.232505,
5,mse,train,3,10.053353000000001,7.694172,11.24487,
6,mse,train,3,9.517462,7.173132,11.18141,
7,mse,train,3,8.844098666666666,6.923337,11.198237,
8,mse,train,3,8.522389333333335,6.620986,11.184629,
9,mse,train,3,8.052629666666666,6.443288,10.431311,
10,mse,train,3,7.227239,6.190141,8.601329,
11,mse,train,3,6.963408666666666,6.068714,8.096153,
12,mse,train,3,6.696111666666667,5.967118,7.683745,
13,mse,train,3,6.4924833333333325,5.911709,7.348565,
14,mse,train,3,6.317715333333333,5.743707,7.13086,
15,mse,train,3,6.133971333333332,5.68576,6.788276,
16,mse,train,3,5.883436333333333,5.558147,6.296664,
17,mse,train,3,5.775793333333333,5.503238,6.095919,
18,mse,train,3,5.6751543333333325,5.511722,5.903199,
19,mse,train,3,5.561024333333333,5.373905,5.7411,
20,mse,train,3,5.481644333333333,5.321975,5.701652,
21,mse,train,3,5.375943,5.234141,5.51474,
22,mse,train,3,5.328373333333333,5.160662,5.498866,
23,mse,train,3,5.267473,5.11819,5.456766,
24,mse,train,3,5.197202,5.034006,5.37214,
25,mse,train,3,5.14114,4.975379,5.309687,
26,mse,train,3,5.0825586666666664,4.904411,5.300106,
27,mse,train,3,4.991264999999999,4.828191,5.166491,
28,mse,train,3,4.960366333333333,4.780052,5.127305,
29,mse,train,3,4.874899666666667,4.703241,5.080615,
30,mse,train,3,4.818644666666667,4.651086,4.98091,
31,mse,train,3,4.777313333333333,4.640987,4.935111,
32,mse,train,3,4.600606,4.523459,4.741227,
33,mse,train,3,4.504311333333334,4.391521,4.637573,
34,mse,train,3,4.413549666666667,4.371083,4.491852,
35,mse,train,3,4.349359,4.299225,4.42167,
36,mse,train,3,4.166047333333333,3.926984,4.286401,
37,mse,train,3,4.085605,3.803357,4.236271,
38,mse,train,3,3.9975703333333334,3.683162,4.195999,
39,mse,train,3,3.962004333333333,3.623549,4.171288,
40,mse,train,3,3.8912213333333328,3.529054,4.113712,
41,mse,train,3,3.823020666666667,3.508191,3.987553,
42,mse,train,3,3.7283286666666666,3.41184,3.942491,
43,mse,train,3,3.6971903333333334,3.332834,3.972808,
44,mse,train,3,3.6893139999999995,3.297533,3.961373,
45,mse,train,3,3.6399480000000004,3.18527,3.917347,
46,mse,train,3,3.5506763333333335,3.139473,3.889946,
47,mse,train,2,3.2879829999999997,2.998026,3.57794,
48,mse,train,2,3.0484985,2.98159,3.115407,
49,mse,train,2,2.952121,2.918222,2.98602,
50,mse,train,2,2.8775605000000004,2.808975,2.946146,
51,mse,train,2,2.8582865,2.759416,2.957157,
52,mse,train,2,2.8157885,2.682279,2.949298,
53,mse,train,1,2.640518,2.640518,2.640518,
54,mse,train,1,2.616234,2.616234,2.616234,
55,mse,train,1,2.540871,2.540871,2.540871,
56,mse,train,1,2.503847,2.503847,2.503847,
57,mse,train,1,2.387081,2.387081,2.387081,
58,mse,train,1,2.353613,2.353613,2.353613,
59,mse,train,1,2.346608,2.346608,2.346608,
60,mse,train,1,2.333944,2.333944,2.333944,
61,mse,train,1,2.306935,2.306935,2.306935,
62,mse,train,1,2.323597,2.323597,2.323597,
1,mse,val,3,16.695946000000003,14.136786,18.968286,
2,mse,val,3,65.03423366666667,10.775311,155.357501,
3,mse,val,3,14.915799333333332,9.296524,22.476344,
4,mse,val,3,159.21234466666667,8.435968,457.191531,
5,mse,val,3,10.548391333333335,9.356428,11.257103,
6,mse,val,3,9.212156666666667,7.686148,11.733667,
7,mse,val,3,8.821914666666666,6.273848,11.143129,
8,mse,val,3,8.766581666666667,6.169458,11.192486,
9,mse,val,3,9.013716666666667,6.528019,10.917213,
10,mse,val,3,6.793381,6.208046,7.734848,
11,mse,val,3,6.452227000000001,5.976978,6.75912,
12,mse,val,3,6.456107333333333,5.537538,7.006415,
13,mse,val,3,6.253381,5.852628,6.974944,
14,mse,val,3,7.756734999999999,6.947742,8.294668,
15,mse,val,3,5.971648666666667,5.695592,6.262928,
16,mse,val,3,6.602883666666667,5.088066,8.54412,
17,mse,val,3,6.218531,5.184533,7.747279,
18,mse,val,3,6.047072,5.103682,7.131034,
19,mse,val,3,5.124686333333333,5.020873,5.262353,
20,mse,val,3,5.492106,5.000829,5.848944,
21,mse,val,3,5.952383,5.378015,6.612582,
22,mse,val,3,5.3904993333333335,4.956507,6.222798,
23,mse,val,3,6.0994106666666665,4.949216,7.47536,
24,mse,val,3,5.160061,4.711592,5.548093,
25,mse,val,3,5.471329666666667,4.764279,5.960175,
26,mse,val,3,6.235733333333333,4.818932,8.986131,
27,mse,val,3,5.688096333333334,4.97246,6.579132,
28,mse,val,3,4.770036,4.575187,4.917518,
